fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,type
6.2,0.33,0.19,5.6,0.042,22,143,0.99425,3.15,0.63,9.9,white
7.8,0.24,0.18,6.7,0.046,33,160,0.9963,3.2,0.56,9.8,white
12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9,red
11.5,0.31,0.51,2.2,0.079,14,28,0.9982,3.03,0.93,9.8,red
7.3,0.42,0.38,6.8,0.045,29,122,0.9925,3.19,0.37,12.6,white
6.2,0.33,0.27,4.9,0.036,30,134,0.9927,3.2,0.42,10.4,white
8.7,0.63,0.28,2.7,0.096,17,69,0.99734,3.26,0.63,10.2,red
6.7,0.21,0.34,1.4,0.049,36,112,0.99091,3.02,0.5,11,white
7.2,0.25,0.19,8,0.044,51,172,0.9964,3.16,0.44,9.2,white
6.6,0.18,0.35,1.5,0.049,49,141,0.9934,3.43,0.85,10.2,white
7.9,0.57,0.31,2,0.079,10,79,0.99677,3.29,0.69,9.5,red
11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,red
7.6,0.51,0.24,2.4,0.091,8,38,0.998,3.47,0.66,9.6,red
9.5,0.57,0.27,2.3,0.082,23,144,0.99782,3.27,0.55,9.4,red
6.9,0.34,0.36,1.4,0.032,13,145,0.99214,3.07,0.52,9.8,white
5.9,0.17,0.3,1.4,0.042,25,119,0.9931,3.68,0.72,10.5,white
11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,red
7.1,0.29,0.34,7.8,0.036,49,128,0.99397,3.21,0.4,10.7,white
9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,red
8,0.4,0.33,7.7,0.034,27,98,0.9935,3.18,0.41,12.2,white
7.8,0.43,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3,red
7.6,0.19,0.38,10.6,0.06,48,174,0.9962,3.13,0.38,10.5,white
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,red
7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,white
6.6,0.35,0.34,4.9,0.032,9,125,0.99253,3.32,0.81,12,white
8.2,0.21,0.48,1.4,0.041,11,99,0.9958,3.17,0.57,9.9,white
7.6,0.54,0.13,2.5,0.097,24,66,0.99785,3.39,0.61,9.4,red
12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,red
5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,red
8,0.48,0.34,2.2,0.073,16,25,0.9936,3.28,0.66,12.4,red
8,0.23,0.46,1.5,0.03,30,125,0.9907,3.23,0.47,12.5,white
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,red
6.4,0.15,0.4,1.5,0.042,23,87,0.98972,3.11,0.46,12.2,white
4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,red
8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,red
9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,red
7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,red
6.5,0.27,0.19,4.2,0.046,6,114,0.9955,3.25,0.35,8.6,white
5.7,0.28,0.36,1.8,0.041,38,90,0.99002,3.27,0.98,11.9,white
7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,red
6.7,0.34,0.26,1.9,0.038,58,138,0.9893,3,0.47,12.2,white
7.7,0.24,0.31,1.3,0.047,33,106,0.993,3.22,0.55,10.8,white
6,0.26,0.15,1.2,0.053,35,124,0.99347,3.08,0.46,8.8,white
7.3,0.2,0.37,1.2,0.037,48,119,0.992,3.32,0.49,10.9,white
8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,red
7.1,0.39,0.12,2.1,0.065,14,24,0.99252,3.3,0.53,13.3,red
6.4,0.22,0.32,7.9,0.029,34,124,0.9948,3.4,0.39,10.2,white
11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,red
6.8,0.17,0.35,1.8,0.04,29,84,0.98961,2.91,0.57,12,white
6,0.21,0.34,2,0.042,63,123,0.99052,3.44,0.42,11.4,white
9,0.46,0.23,2.8,0.092,28,104,0.9983,3.1,0.56,9.2,red
9,0.26,0.34,6.7,0.029,21,162,0.99497,3.08,0.5,10.6,white
8.3,0.2,0.49,1.7,0.038,38,167,0.9939,3.05,0.37,10.1,white
6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,red
7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6,white
5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14,red
7.5,0.25,0.47,4.1,0.041,95,163,0.99184,2.92,0.59,11.3,white
10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,red
9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3,white
7.1,0.21,0.35,2.5,0.04,41,186,0.99128,3.32,0.56,12.5,white
8.2,0.32,0.42,2.3,0.098,3,9,0.99506,3.27,0.55,12.3,red
5.8,0.3,0.23,1.5,0.034,37,121,0.98871,2.96,0.34,12.1,white
9,0.44,0.49,2.4,0.078,26,121,0.9978,3.23,0.58,9.2,red
9.2,0.755,0.18,2.2,0.148,10,103,0.9969,2.87,1.36,10.2,red
8,0.28,0.3,8.4,0.03,35,115,0.99192,2.93,0.42,12.3,white
8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,red
6.7,0.23,0.42,11.2,0.047,52,171,0.99758,3.54,0.74,10.4,white
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,red
7.7,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1,red
7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,red
5.8,0.3,0.38,4.9,0.039,22,86,0.98963,3.23,0.58,13.1,white
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,red
7.4,0.19,0.3,1.4,0.057,33,135,0.993,3.12,0.5,9.6,white
8,0.28,0.44,1.8,0.081,28,68,0.99501,3.36,0.66,11.2,red
6.7,0.18,0.24,10.3,0.057,64,185,0.99519,3.12,0.5,10.6,white
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,red
5.2,0.49,0.26,2.3,0.09,23,74,0.9953,3.71,0.62,12.2,red
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,red
7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,red
7.4,0.2,0.43,7.8,0.045,27,153,0.9964,3.19,0.55,9,white
9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2.0,9.4,red
5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,white
8.8,0.27,0.46,2.1,0.095,20,29,0.99488,3.26,0.56,11.3,red
6.4,0.3,0.27,5,0.058,27,151,0.99198,3.22,0.49,12.2,white
6.3,0.28,0.3,3.1,0.039,24,115,0.9942,3.05,0.43,8.6,white
5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,red
6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,red
6.8,0.15,0.3,5.3,0.05,40,127,0.9942,3.4,0.39,9.7,white
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,red
6.9,0.14,0.38,1,0.041,22,81,0.99043,3.03,0.54,11.4,white
9.5,0.39,0.41,8.9,0.069,18,39,0.99859,3.29,0.81,10.9,red
5.7,0.6,0,1.4,0.063,11,18,0.99191,3.45,0.56,12.2,red
11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,red
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,red
6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,red
8,0.6,0.08,2.6,0.056,3,7,0.99286,3.22,0.37,13,red
9.7,0.42,0.46,2.1,0.074,5,16,0.99649,3.27,0.74,12.3,red
6.7,0.17,0.37,2,0.039,34,125,0.9922,3.26,0.6,10.8,white
9.4,0.41,0.48,4.6,0.072,10,20,0.9973,3.34,0.79,12.2,red
9.4,0.615,0.28,3.2,0.087,18,72,1.0001,3.31,0.53,9.7,red
5.9,0.29,0.25,13.4,0.067,72,160,0.99721,3.33,0.54,10.3,red
7.1,0.27,0.6,2.1,0.074,17,25,0.99814,3.38,0.72,10.6,red
7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,red
6.7,0.37,0.41,6.3,0.061,22,149,0.9953,3.16,0.47,9.6,white
7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,red
6.8,0.24,0.29,2,0.044,15,96,0.99232,3.23,0.64,10.4,white
7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,red
9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,red
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,red
6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7,white
7.3,0.67,0.05,3.6,0.107,6,20,0.9972,3.4,0.63,10.1,red
8.3,0.33,0.42,2.3,0.07,9,20,0.99426,3.38,0.77,12.7,red
7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,8.7,white
6.9,0.58,0.2,1.75,0.058,8,22,0.99322,3.38,0.49,11.7,red
5.8,0.31,0.33,1.2,0.036,23,99,0.9916,3.18,0.6,10.5,white
7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,red
6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,white
6.7,0.27,0.12,1.3,0.041,62,138,0.9921,3.21,0.42,10,white
9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,red
5.2,0.645,0,2.15,0.08,15,28,0.99444,3.78,0.61,12.5,red
6.1,0.105,0.31,1.3,0.037,55,145,0.9912,3.41,0.41,11.1,white
7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,white
6,0.52,0.33,7.7,0.046,24,119,0.99224,3.04,0.38,11,white
8.6,0.17,0.28,2.7,0.047,38,150,0.99365,3.1,0.56,10.8,white
7.4,0.64,0.17,5.4,0.168,52,98,0.99736,3.28,0.5,9.5,red
6.4,0.26,0.42,9.7,0.044,30,140,0.9962,3.18,0.47,9.1,white
11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,red
6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,red
8.5,0.21,0.52,1.9,0.09,9,23,0.99648,3.36,0.67,10.4,red
6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,red
6.5,0.27,0.19,6.6,0.045,98,175,0.99364,3.16,0.34,10.1,white
6.3,0.6,0.1,1.6,0.048,12,26,0.99306,3.55,0.51,12.1,red
7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,white
8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,red
9.3,0.38,0.48,3.8,0.132,3,11,0.99577,3.23,0.57,13.2,red
6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13,white
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,red
6,0.28,0.35,1.9,0.037,16,120,0.9933,3.16,0.69,10.6,white
6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,white
7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,red
6.4,0.37,0.37,4.85,0.041,39.5,216.5,0.99432,3.1,0.5,9.8,white
5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,red
9.9,0.25,0.46,1.7,0.062,26,42,0.9959,3.18,0.83,10.6,red
7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,white
10,0.23,0.27,14.1,0.033,45,166,0.9988,2.72,0.43,9.7,white
8.6,0.47,0.47,2.4,0.074,7,29,0.9979,3.08,0.46,9.5,red
7,0.34,0.3,1.8,0.045,44,142,0.9914,2.99,0.45,10.8,white
8.2,0.18,0.28,8.5,0.035,41,140,0.9952,3.04,0.37,10.1,white
6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5,red
6.4,0.29,0.3,6.5,0.209,62,156,0.99478,3.1,0.4,9.4,white
6.6,0.23,0.26,1.3,0.045,16,128,0.9934,3.36,0.6,10,white
7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,red
8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,red
6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.25,red
5.9,0.32,0.26,1.5,0.057,17,141,0.9917,3.24,0.36,10.7,white
11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,red
7.3,0.39,0.37,1.1,0.043,36,113,0.991,3.39,0.48,12.7,white
7.1,0.26,0.3,2,0.031,13,128,0.9917,3.19,0.49,11.4,white
5.8,0.34,0.21,7.2,0.041,48,146,0.99441,3.16,0.49,9.8,white
14,0.41,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8,red
7.1,0.34,0.32,2,0.051,29,130,0.99354,3.3,0.5,10.4,white
9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4,red
7,0.57,0,2,0.19,12,45,0.99676,3.31,0.6,9.4,red
5.9,0.44,0,1.6,0.042,3,11,0.9944,3.48,0.85,11.7,red
9.1,0.4,0.57,4.6,0.08,6,20,0.99652,3.28,0.57,12.5,red
10.7,0.46,0.39,2,0.061,7,15,0.9981,3.18,0.62,9.5,red
6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,white
10.4,0.44,0.42,1.5,0.145,34,48,0.99832,3.38,0.86,9.9,red
5.7,0.25,0.26,12.5,0.049,52.5,106,0.99691,3.08,0.45,9.4,white
6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,red
7.2,0.605,0.02,1.9,0.096,10,31,0.995,3.46,0.53,11.8,red
6.4,0.57,0.14,3.9,0.07,27,73,0.99669,3.32,0.48,9.2,red
5.8,0.3,0.33,3.5,0.033,25,116,0.99057,3.2,0.44,11.7,white
6.4,0.28,0.43,7.1,0.045,60,221,0.9952,3.09,0.45,9.4,white
13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,red
6.5,0.36,0.28,3.2,0.037,29,119,0.9908,3.25,0.65,12.4,white
5.4,0.74,0.09,1.7,0.089,16,26,0.99402,3.67,0.56,11.6,red
7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,red
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,red
9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,red
7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,red
7.3,0.32,0.23,13.7,0.05,49,197,0.9985,3.2,0.46,8.7,white
6.2,0.52,0.08,4.4,0.071,11,32,0.99646,3.56,0.63,11.6,red
9.1,0.785,0,2.6,0.093,11,28,0.9994,3.36,0.86,9.4,red
7.4,0.16,0.33,1.2,0.042,47,121,0.99198,3.04,0.68,10.5,white
6.3,0.21,0.4,1.7,0.031,48,134,0.9917,3.42,0.49,11.5,white
7,0.2,0.31,8,0.05,29,213,0.99596,3.28,0.57,10.4,white
8.5,0.66,0.2,2.1,0.097,23,113,0.99733,3.13,0.48,9.2,red
7,0.54,0,2.1,0.079,39,55,0.9956,3.39,0.84,11.4,red
6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,white
6.1,0.17,0.27,1.5,0.056,45,135,0.9924,3.2,0.43,10.2,white
6.5,0.14,0.33,7.6,0.05,53,189,0.9966,3.25,0.49,8.6,white
6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,white
6.4,0.29,0.24,3.2,0.037,31,95,0.98942,2.9,0.66,12.6,white
7.4,0.26,0.3,7.9,0.049,38,157,0.9963,3.13,0.48,8.9,white
7,0.46,0.39,6.2,0.039,46,163,0.9928,3.21,0.35,12.2,white
6.5,0.16,0.33,1,0.027,23,75,0.9908,3.3,0.39,11.4,white
6.8,0.19,0.34,1.9,0.04,41,108,0.99,3.25,0.45,12.9,white
7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9,white
8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,red
7.4,0.22,0.28,9,0.046,22,121,0.99468,3.1,0.55,10.8,white
6.5,0.33,0.72,1.1,0.061,7,151,0.993,3.09,0.57,9.5,white
6,0.32,0.3,1.3,0.025,18,112,0.98802,3.07,0.64,13.3,white
6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,red
6.4,0.39,0.33,3.3,0.046,12,53,0.99294,3.36,0.62,12.2,red
7.5,0.13,0.38,1.1,0.023,42,104,0.99112,3.28,0.53,11.8,white
7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4,white
7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,white
6.6,0.22,0.29,14.4,0.046,39,118,0.99834,3.05,0.5,9.1,white
7.6,0.31,0.34,2.5,0.082,26,35,0.99356,3.22,0.59,12.5,red
6.2,0.21,0.52,6.5,0.047,28,123,0.99418,3.22,0.49,9.9,white
12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,red
8.1,0.72,0.09,2.8,0.084,18,49,0.9994,3.43,0.72,11.1,red
6.1,0.48,0.09,1.7,0.078,18,30,0.99402,3.45,0.54,11.2,red
7.2,0.18,0.45,4.4,0.046,57,166,0.9943,3.13,0.62,11.2,white
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,red
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,red
8.3,0.34,0.4,2.4,0.065,24,48,0.99554,3.34,0.86,11,red
8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,red
6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4,white
8.2,0.885,0.2,1.4,0.086,7,31,0.9946,3.11,0.46,10,red
9.2,0.53,0.24,2.6,0.078,28,139,0.99788,3.21,0.57,9.5,red
10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,red
6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,red
10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,red
9,0.48,0.32,2.8,0.084,21,122,0.9984,3.32,0.62,9.4,red
12.6,0.39,0.49,2.5,0.08,8,20,0.9992,3.07,0.82,10.3,red
6.3,0.23,0.3,1.8,0.033,16,91,0.9906,3.28,0.4,11.8,white
8,0.23,0.28,2.7,0.048,49,165,0.9952,3.26,0.72,9.5,white
7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,red
7.6,0.17,0.35,1.6,0.047,43,154,0.9934,3.36,0.69,11.1,white
6.4,0.69,0,1.65,0.055,7,12,0.99162,3.47,0.53,12.9,red
8,0.23,0.41,1.1,0.048,35,150,0.99168,3.09,0.47,11.2,white
6.6,0.18,0.26,17.3,0.051,17,149,0.9984,3,0.43,9.4,white
8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,red
5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,white
8.1,0.25,0.34,10.1,0.05,30,121,0.99724,3.17,0.49,10.1,white
6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1,white
7.7,0.43,1,19.95,0.032,42,164,0.99742,3.29,0.5,12,white
5.7,0.33,0.32,1.4,0.043,28,93,0.9897,3.31,0.5,12.3,white
6,0.42,0.19,2,0.075,22,47,0.99522,3.39,0.78,10,red
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,white
7.1,0.26,0.37,5.5,0.025,31,105,0.99082,3.06,0.33,12.6,white
7.4,0.18,0.3,10.4,0.045,44,174,0.9966,3.11,0.57,9.7,white
8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,red
6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13,white
8.4,0.31,0.31,0.95,0.021,52,148,0.99038,2.93,0.32,11.5,white
6.4,0.26,0.49,6.4,0.037,37,161,0.9954,3.38,0.53,9.7,white
7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,red
7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,red
7.1,0.2,0.31,6.85,0.053,32,211,0.99587,3.31,0.59,10.4,white
6.3,0.3,0.91,8.2,0.034,50,199,0.99394,3.39,0.49,11.7,white
9.2,0.59,0.24,3.3,0.101,20,47,0.9988,3.26,0.67,9.6,red
7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,white
8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,red
6.5,0.28,0.28,20.4,0.041,40,144,1.0002,3.14,0.38,8.7,white
6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,white
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,red
6.9,0.34,0.3,4.7,0.029,34,148,0.99165,3.36,0.49,12.3,white
13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,red
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,white
6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,white
6,0.29,0.2,12.6,0.045,45,187,0.9972,3.33,0.42,9.5,white
6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7,white
6,0.32,0.33,9.9,0.032,22,90,0.99258,3.1,0.43,12.1,white
6.2,0.43,0.22,1.8,0.078,21,56,0.99633,3.52,0.6,9.5,red
7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,red
6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,red
6.7,0.3,0.5,12.1,0.045,38,127,0.9974,3.04,0.53,8.9,white
6.6,0.24,0.22,12.3,0.051,35,146,0.99676,3.1,0.67,9.4,white
6.4,0.17,0.34,1.5,0.091,42,135,0.9938,3.25,0.49,9.6,white
6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.53333333333333,white
7.4,0.37,0.26,9.6,0.05,33,134,0.99608,3.13,0.46,10.4,white
6.1,0.3,0.3,2.1,0.031,50,163,0.9895,3.39,0.43,12.7,white
8.7,0.46,0.31,2.5,0.126,24,64,0.99746,3.1,0.74,9.6,red
8,0.2,0.3,8.1,0.037,42,130,0.99379,3.1,0.67,11.8,white
7,0.22,0.33,2.1,0.052,15,76,0.993,3.2,0.41,10.6,white
9.9,0.57,0.25,2,0.104,12,89,0.9963,3.04,0.9,10.1,red
6.3,0.37,0.51,6.3,0.048,35,146,0.9943,3.1,1.01,10.5,white
10.1,0.37,0.34,2.4,0.085,5,17,0.99683,3.17,0.65,10.6,red
6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10,red
9.1,0.775,0.22,2.2,0.079,12,48,0.9976,3.18,0.51,9.6,red
7.6,0.54,0.02,1.7,0.085,17,31,0.99589,3.37,0.51,10.4,red
6.1,0.25,0.18,10.5,0.049,41,124,0.9963,3.14,0.35,10.5,white
7.3,0.55,0.01,1.8,0.093,9,15,0.99514,3.35,0.58,11,red
8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,red
5.4,0.22,0.29,1.2,0.045,69,152,0.99178,3.76,0.63,11,white
6.7,0.67,0.02,1.9,0.061,26,42,0.99489,3.39,0.82,10.9,red
7.7,0.11,0.34,14.05,0.04,41,114,0.99634,3.07,0.59,11,white
8.2,0.23,0.42,1.9,0.069,9,17,0.99376,3.21,0.54,12.3,red
8.2,0.2,0.43,2.5,0.076,31,51,0.99672,3.53,0.81,10.4,red
7.8,0.17,0.5,1.3,0.045,35,140,0.9904,3.16,0.4,12,white
6.3,0.23,0.22,17.45,0.054,42,151,0.99853,3.12,0.6,9.3,white
7.4,0.21,0.27,1.2,0.041,27,99,0.9927,3.19,0.33,9.8,white
5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,red
7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,white
7.3,0.32,0.34,6.6,0.032,24,112,0.99505,3.22,0.46,9.8,white
12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,red
6.8,0.2,0.36,1.6,0.028,7,46,0.99175,3.21,0.6,10.9,white
6.4,0.46,0.22,14.7,0.047,51,183,0.998275,3.39,0.6,10.5,white
7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,white
7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,white
8.7,0.42,0.45,2.4,0.072,32,59,0.99617,3.33,0.77,12,red
8.1,0.33,0.44,1.5,0.042,6,12,0.99542,3.35,0.61,10.7,red
11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,red
13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,red
11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,red
8.4,0.29,0.4,1.7,0.067,8,20,0.99603,3.39,0.6,10.5,red
7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,red
7.1,0.22,0.74,2.7,0.044,42,144,0.991,3.31,0.41,12.2,white
6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12,white
10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,red
7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,red
5.8,0.2,0.34,1,0.035,40,86,0.98993,3.5,0.42,11.7,white
10.6,1.02,0.43,2.9,0.076,26,88,0.9984,3.08,0.57,10.1,red
5.6,0.26,0.5,11.4,0.029,25,93,0.99428,3.23,0.49,10.5,white
8.4,0.39,0.1,1.7,0.075,6,25,0.99581,3.09,0.43,9.7,red
8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,red
9.1,0.6,0,1.9,0.058,5,10,0.9977,3.18,0.63,10.4,red
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,red
7,0.43,0.02,1.9,0.08,15,28,0.99492,3.35,0.81,10.6,red
6.8,0.915,0.29,4.8,0.07,15,39,0.99577,3.53,0.54,11.1,red
8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,red
11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,red
6.4,0.28,0.36,1.3,0.053,28,186,0.99211,3.31,0.45,10.8,white
9.5,0.885,0.27,2.3,0.084,31,145,0.9978,3.24,0.53,9.4,red
6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,red
9.3,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7,red
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,red
10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,red
